antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'20727'}),frozenset({'22382'}),0.05805544395339494,0.0532342306147047,0.02209722780233025,0.38062283737024216,7.1499640921851535,1.0,0.019006690910476163,1.5285771360466498,0.9131526396401637,0.24774774774774777,0.34579683522789423,0.39785858849644185
frozenset({'22382'}),frozenset({'20727'}),0.0532342306147047,0.05805544395339494,0.02209722780233025,0.41509433962264153,7.149964092185154,1.0,0.019006690910476163,1.610421337757099,0.9085025943714677,0.24774774774774777,0.3790444919261056,0.39785858849644185
frozenset({'22383'}),frozenset({'20727'}),0.060767376456408194,0.05805544395339494,0.025512253917235838,0.4198347107438017,7.231616574680432,1.0,0.02198437689917598,1.6235796478865985,0.9174706145369942,0.27341227125941875,0.38407702923494236,0.4296405387629043
frozenset({'20727'}),frozenset({'22383'}),0.05805544395339494,0.060767376456408194,0.025512253917235838,0.43944636678200694,7.231616574680432,1.0,0.02198437689917598,1.6755446185438152,0.9148291444375595,0.27341227125941875,0.4031791281875373,0.4296405387629043
frozenset({'22384'}),frozenset({'20727'}),0.0562474889513861,0.05805544395339494,0.027420650863800723,0.4875,8.397145328719724,1.0,0.02415517792146433,1.8379405971641076,0.9334141096593205,0.315606936416185,0.4559127745788014,0.47990916955017304
frozenset({'20727'}),frozenset({'22384'}),0.05805544395339494,0.0562474889513861,0.027420650863800723,0.47231833910034604,8.397145328719724,1.0,0.02415517792146433,1.788488365200324,0.9352056914436953,0.315606936416185,0.44086860196711847,0.47990916955017304
frozenset({'22382'}),frozenset({'20728'}),0.0532342306147047,0.05614704700683005,0.020891924467657693,0.39245283018867927,6.989732338745064,1.0,0.017902979618961437,1.553546785982547,0.9051161680458306,0.23609534619750286,0.3563116289622742,0.3822729267222466
frozenset({'20728'}),frozenset({'22382'}),0.05614704700683005,0.0532342306147047,0.020891924467657693,0.37209302325581395,6.989732338745064,1.0,0.017902979618961437,1.507812151243248,0.9079094391827179,0.23609534619750286,0.3367874113658905,0.3822729267222466
frozenset({'22383'}),frozenset({'20728'}),0.060767376456408194,0.05614704700683005,0.02752109280835677,0.4528925619834711,8.066186667455167,1.0,0.024109184065977084,1.7251692947458246,0.9327036337110596,0.3078651685393259,0.4203467433337702,0.47152678188618996
frozenset({'20728'}),frozenset({'22383'}),0.05614704700683005,0.060767376456408194,0.02752109280835677,0.4901610017889088,8.066186667455167,1.0,0.024109184065977084,1.8422141633714664,0.9281378821785802,0.3078651685393259,0.45717494747196835,0.47152678188618996
